-0.03,-3.67
-0.00,-16.29
-0.00,-15.67
-0.09,-2.49
-0.26,-1.46
0.00,-20.88
-0.39,-1.13
-0.64,-0.75
-0.47,-0.98
-0.44,-1.03
-0.63,-0.76
-0.15,-1.99
-0.54,-0.88
-0.16,-1.89
-0.43,-1.06
-0.00,-11.32
-0.08,-2.59
-0.55,-0.86
-0.12,-2.19
0.00,-25.06
-0.36,-1.20
-0.00,-10.52
-0.52,-0.90
-0.23,-1.60
-0.31,-1.32
-0.66,-0.73
-0.04,-3.16
0.00,-18.54
-0.00,-15.31
-0.09,-2.44
-0.05,-2.98
-0.03,-3.64
-0.06,-2.87
-1.27,-0.33
-0.22,-1.63
-0.10,-2.40
-0.01,-4.23
-0.11,-2.30
0.00,-32.59
-0.01,-5.05
-0.00,-11.48
-0.15,-2.00
-0.00,-7.01
-0.01,-4.81
0.00,-24.64
0.00,-19.65
0.00,-18.96
0.00,-27.55
0.00,-45.13
-0.00,-16.07
0.00,-21.30
-0.00,-10.41
-0.00,-10.43
-0.00,-14.14
0.00,-25.75
0.00,-35.91
0.00,-32.17
0.00,-32.87
-0.00,-12.01
0.00,-42.36
-0.00,-14.55
-0.00,-7.48
-0.00,-14.16
-0.13,-2.10
0.00,-27.97
0.00,-23.85
-0.00,-6.40
-0.07,-2.69
0.00,-24.18
0.00,-28.91
-0.27,-1.45
-0.25,-1.51
-0.00,-14.07
-0.00,-9.70
-0.00,-8.27
-0.64,-0.75
-0.00,-5.98
-0.44,-1.03
0.00,-20.03
0.00,-25.08
0.00,-20.75
-2.32,-0.10
-1.20,-0.36
-1.33,-0.31
-0.56,-0.85
-0.00,-14.24
-0.36,-1.19
-1.31,-0.31
-0.47,-0.98
-1.14,-0.38
-0.80,-0.60
-0.61,-0.79
-0.63,-0.76
-1.02,-0.45
-1.25,-0.34
-0.63,-0.76
-0.79,-0.60
-1.08,-0.41
-0.55,-0.86
-0.24,-1.53
-0.30,-1.36
-1.17,-0.37
-1.10,-0.40
-0.13,-2.12
